400044 [0,-1,0,-9477,358305] [7,1,29,-25] 1 [2,3,17,37,53] [3,4]
400044 [0,1,0,1583211,404907831] [7,1,29,-25] 1 [2,3,17,37,53] [79,-8]
1200132 [0,0,0,-85296,-9588940] [7,1,29,-25] 1 [2,3,17,37,53] [3,4]
1200132 [0,0,0,14248896,-10918262540] [7,1,29,-25] 1 [2,3,17,37,53] [79,-8]
1600176 [0,-1,0,1583211,-404907831] [7,1,29,-25] 1 [2,3,17,37,53] [79,-8]
1600176 [0,1,0,-9477,-358305] [7,1,29,-25] 1 [2,3,17,37,53] [3,4]
4800528 [0,0,0,483024,52588080] [7,1,29,-25] 1 [2,3,17,37,53] [37,-13]
4800528 [0,0,0,4347216,-1419878160] [7,1,29,-25] 1 [2,3,17,37,53] [37,-13]
4800528 [0,0,0,14248896,10918262540] [7,1,29,-25] 1 [2,3,17,37,53] [79,-8]
4800528 [0,0,0,-85296,9588940] [7,1,29,-25] 1 [2,3,17,37,53] [3,4]
6400704 [0,1,0,-159,-909] [7,1,29,-25] 1 [2,3,17,37,53] [1,1]
6400704 [0,-1,0,6332843,3232929805] [7,1,29,-25] 1 [2,3,17,37,53] [79,-8]
6400704 [0,-1,0,-159,909] [7,1,29,-25] 1 [2,3,17,37,53] [1,1]
6400704 [0,1,0,-37909,2828531] [7,1,29,-25] 1 [2,3,17,37,53] [3,4]
6400704 [0,-1,0,-31630087,68481267985] [7,1,29,-25] 1 [2,3,17,37,53] [-343,-463]
6400704 [0,1,0,6332843,-3232929805] [7,1,29,-25] 1 [2,3,17,37,53] [79,-8]
6400704 [0,-1,0,-37909,-2828531] [7,1,29,-25] 1 [2,3,17,37,53] [3,4]
6400704 [0,1,0,-31630087,-68481267985] [7,1,29,-25] 1 [2,3,17,37,53] [-343,-463]
19202112 [0,0,0,-284670786,-1848709564810] [7,1,29,-25] 1 [2,3,17,37,53] [-343,-463]
19202112 [0,0,0,1086804,177484770] [7,1,29,-25] 1 [2,3,17,37,53] [37,-13]
19202112 [0,0,0,-1434,23110] [7,1,29,-25] 1 [2,3,17,37,53] [1,1]
19202112 [0,0,0,-341184,76711520] [7,1,29,-25] 1 [2,3,17,37,53] [3,4]
19202112 [0,0,0,56995584,-87346100320] [7,1,29,-25] 1 [2,3,17,37,53] [79,-8]
19202112 [0,0,0,-1434,-23110] [7,1,29,-25] 1 [2,3,17,37,53] [1,1]
19202112 [0,0,0,120756,-6573510] [7,1,29,-25] 1 [2,3,17,37,53] [37,-13]
19202112 [0,0,0,-284670786,1848709564810] [7,1,29,-25] 1 [2,3,17,37,53] [-343,-463]
19202112 [0,0,0,56995584,87346100320] [7,1,29,-25] 1 [2,3,17,37,53] [79,-8]
19202112 [0,0,0,-341184,-76711520] [7,1,29,-25] 1 [2,3,17,37,53] [3,4]
19202112 [0,0,0,120756,6573510] [7,1,29,-25] 1 [2,3,17,37,53] [37,-13]
19202112 [0,0,0,1086804,-177484770] [7,1,29,-25] 1 [2,3,17,37,53] [37,-13]
