771456 [0,1,0,-22066,-4016314] [1,4,3,6] 1 [3,7,41] [-11,6]
771456 [0,1,0,-88265,32042247] [1,4,3,6] 1 [3,7,41] [-11,6]
771456 [0,1,0,-450,-11838] [1,4,3,6] 1 [3,7,41] [-11,6]
771456 [0,-1,0,-88265,-32042247] [1,4,3,6] 1 [3,7,41] [-11,6]
771456 [0,1,0,-1801,92903] [1,4,3,6] 1 [3,7,41] [-11,6]
771456 [0,-1,0,-1801,-92903] [1,4,3,6] 1 [3,7,41] [-11,6]
771456 [0,-1,0,-22066,4016314] [1,4,3,6] 1 [3,7,41] [-11,6]
771456 [0,-1,0,-450,11838] [1,4,3,6] 1 [3,7,41] [-11,6]
771456 [0,-1,0,13655,2351833] [2,1,0,3] 1 [3,7,41] [4,1]
771456 [0,1,0,13655,-2351833] [2,1,0,3] 1 [3,7,41] [4,1]
771456 [0,-1,0,3414,-295686] [2,1,0,3] 1 [3,7,41] [4,1]
771456 [0,-1,0,-38089,2873977] [2,1,0,3] 1 [3,7,41] [-4,3]
771456 [0,1,0,-9522,354486] [2,1,0,3] 1 [3,7,41] [-4,3]
771456 [0,-1,0,-9522,-354486] [2,1,0,3] 1 [3,7,41] [-4,3]
771456 [0,1,0,3414,295686] [2,1,0,3] 1 [3,7,41] [4,1]
771456 [0,-1,0,-6729,-257319] [2,1,0,3] 1 [3,7,41] [2,-1]
771456 [0,-1,0,-2183946,1733569902] [2,1,0,3] 1 [3,7,41] [-50,61]
771456 [0,1,0,-8735785,13859823431] [2,1,0,3] 1 [3,7,41] [-50,61]
771456 [0,-1,0,-8735785,-13859823431] [2,1,0,3] 1 [3,7,41] [-50,61]
771456 [0,-1,0,-1682,33006] [2,1,0,3] 1 [3,7,41] [2,-1]
771456 [0,1,0,-6729,257319] [2,1,0,3] 1 [3,7,41] [2,-1]
771456 [0,1,0,-1682,-33006] [2,1,0,3] 1 [3,7,41] [2,-1]
771456 [0,1,0,-38089,-2873977] [2,1,0,3] 1 [3,7,41] [-4,3]
771456 [0,1,0,-2183946,-1733569902] [2,1,0,3] 1 [3,7,41] [-50,61]
771456 [0,-1,0,-702,50058] [2,5,0,6] 1 [3,7,41] [-1,1]
771456 [0,-1,0,-4636249,-3841001975] [2,5,0,6] 1 [3,7,41] [-37,13]
771456 [0,-1,0,-1159062,480704778] [2,5,0,6] 1 [3,7,41] [-37,13]
771456 [0,-1,0,-2809,-397655] [2,5,0,6] 1 [3,7,41] [-1,1]
771456 [0,-1,0,-717817,-571712567] [2,5,0,6] 1 [3,7,41] [19,-1]
771456 [0,1,0,-717817,571712567] [2,5,0,6] 1 [3,7,41] [19,-1]
771456 [0,1,0,-4636249,3841001975] [2,5,0,6] 1 [3,7,41] [-37,13]
771456 [0,1,0,-2809,397655] [2,5,0,6] 1 [3,7,41] [-1,1]
771456 [0,1,0,-702,-50058] [2,5,0,6] 1 [3,7,41] [-1,1]
771456 [0,-1,0,-179454,71553798] [2,5,0,6] 1 [3,7,41] [19,-1]
771456 [0,1,0,-179454,-71553798] [2,5,0,6] 1 [3,7,41] [19,-1]
